"What","When","Credits","Volunteer First Name","Volunteer Last Name","Email","Phone"
"Setup Crew — barricades, merch tent & tables, trash cans","9/6 - 7:00AM - 8:00AM","","","","",""
"Setup Crew — barricades, merch tent & tables, trash cans","9/6 - 7:00AM - 8:00AM","","","","",""
"Setup Crew — barricades, merch tent & tables, trash cans","9/6 - 7:00AM - 8:00AM","","","","",""
"Setup Crew — barricades, merch tent & tables, trash cans","9/6 - 7:00AM - 8:00AM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 8:00AM - 9:00AM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 9:00AM - 10:00AM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 10:00AM - 11:00AM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 11:00AM - 12:00PM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 12:00PM - 1:00PM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 1:00PM - 2:00PM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 2:00PM - 3:00PM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 3:00PM - 4:00PM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 4:00PM - 5:00PM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 5:00PM - 6:00PM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 6:00PM - 7:00PM","","","","",""
"Barricade Monitor (Baggarly & Johnson)","9/6 - 7:00PM - 8:00PM","","","","",""
"Barricade Monitor (Barnes & Johnson)","9/6 - 12:30PM - 1:30PM","","","","",""
"Barricade Monitor (Barnes & Johnson)","9/6 - 1:30PM - 3:00PM","","","","",""
"Barricade Monitor (Barnes & Johnson)","9/6 - 3:00PM - 4:00PM","","","","",""
"Barricade Monitor (Johnson & Pylant)","9/6 - 1:00PM - 3:00PM","","","","",""
"Barricade Monitor (Pylant at the Library)","9/6 - 1:00PM - 3:00PM","","","","",""
"Golf Cart Roadie — POD monitoring & band assistance (you must have your own golf cart)","9/6 - 2:00PM - 4:00PM","","","","",""
"Golf Cart Roadie — POD monitoring & band assistance (you must have your own golf cart)","9/6 - 2:00PM - 4:00PM","","","","",""
"Golf Cart Roadie — POD monitoring & band assistance (you must have your own golf cart)","9/6 - 2:00PM - 4:00PM","","","","",""
"Golf Cart Roadie — POD monitoring & band assistance (you must have your own golf cart)","9/6 - 4:00PM - 6:00PM","","","","",""
"Golf Cart Roadie — POD monitoring & band assistance (you must have your own golf cart)","9/6 - 4:00PM - 6:00PM","","","","",""
"Golf Cart Roadie — POD monitoring & band assistance (you must have your own golf cart)","9/6 - 4:00PM - 6:00PM","","","","",""
"Golf Cart Roadie — POD monitoring & band assistance (you must have your own golf cart)","9/6 - 6:00PM - 8:00PM","","","","",""
"Golf Cart Roadie — POD monitoring & band assistance (you must have your own golf cart)","9/6 - 6:00PM - 8:00PM","","","","",""
"Golf Cart Roadie — POD monitoring & band assistance (you must have your own golf cart)","9/6 - 6:00PM - 8:00PM","","","","",""
"VIP Area (Senoia Farmers' Market, 40 Travis St)","9/6 - 1:30PM - 3:00PM","","Brandi","Byrd","",""
"VIP Area (Senoia Farmers' Market, 40 Travis St)","9/6 - 1:30PM - 3:00PM","","Shelley","Kiley","",""
"VIP Area (Senoia Farmers' Market, 40 Travis St)","9/6 - 1:30PM - 3:00PM","","Dorita","Hodges","",""
"VIP Area (Senoia Farmers' Market, 40 Travis St)","9/6 - 1:30PM - 3:00PM","","","","",""
"VIP Area (Senoia Farmers' Market, 40 Travis St)","9/6 - 1:30PM - 3:00PM","","","","",""
